,Number,Name,Position,Age,Height,Weight,Experience,College
54,46,Neville Hewitt,LB,24,6-2,234,4,Marshall
55,45,Mike Hull,LB,26,6-0,232,3,Penn State
56,52,Raekwon McMillan,LB,22,6-2,248,2,Ohio State
57,55,Koa Misi,LB,31,6-3,265,9,Utah
58,94,Lawrence Timmons,LB,31,6-1,242,12,Florida State
59,39,Taveze Calhoun,CB,25,6-1,188,1,Mississippi State
60,41,Tracy Howard,CB,23,5-10,185,2,Miami
61,25,Xavien Howard,CB,24,6-1,196,3,Baylor
62,36,Tony Lippett,CB,25,6-3,192,4,Michigan State
63,21,Jordan Lucas,CB,24,6-0,202,3,Penn State
64,28,Bobby McCain,CB,24,5-11,192,4,Memphis
65,33,Torry McTyer,CB,22,5-11,184,2,UNLV
66,30,Cordrea Tankersley,CB,24,6-1,196,2,Clemson
67,42,Alterraun Verner,CB,29,5-10,187,9,UCLA
68,35,Walt Aikens,S,26,6-1,212,5,Liberty
69,29,Nate Allen,S,30,6-1,214,9,South Florida
70,43,Trae Elston,S,23,5-11,190,2,Ole Miss
71,20,Reshad Jones,S,29,6-1,223,9,Georgia
72,22,T.J. McDonald,S,27,6-2,223,6,USC
73,27,Maurice Smith,S,22,5-11,197,2,Georgia
74,31,Michael Thomas,S,27,5-11,195,6,Stanford
77,1,Cody Parkey,PK,25,6-0,190,5,Auburn
78,16,Matt Haack,P,23,6-0,205,2,Arizona State
79,92,John Denney,LS,39,6-5,242,14,BYU
0,12,Tom Brady,QB,40,6-4,225,19,Michigan
1,2,Brian Hoyer,QB,32,6-2,215,10,Michigan State
2,38,Brandon Bolden,RB,28,5-11,220,7,Ole Miss
3,34,Rex Burkhead,RB,27,5-10,210,6,Nebraska
4,35,Mike Gillislee,RB,27,5-11,219,6,Florida
5,33,Dion Lewis,RB,27,5-8,195,7,Pittsburgh
6,28,James White,RB,26,5-10,205,5,Wisconsin
7,46,James Develin,FB,29,6-3,255,6,Brown
8,80,Danny Amendola,WR,32,5-11,190,10,Texas Tech
9,85,Kenny Britt,WR,29,6-3,223,10,Rutgers
10,14,Brandin Cooks,WR,24,5-10,189,5,Oregon State
11,13,Phillip Dorsett,WR,25,5-10,185,4,Miami
12,11,Julian Edelman,WR,31,5-10,200,10,Kent State
13,15,Chris Hogan,WR,29,6-1,210,6,Monmouth
14,81,Cody Hollister,WR,24,6-4,209,1,Arkansas
15,83,Riley McCarron,WR,24,5-9,185,1,Iowa
16,19,Malcolm Mitchell,WR,25,6-1,200,2,Georgia
17,17,Bernard Reedy,WR,26,5-8,175,2,Toledo
18,18,Matthew Slater,WR,32,6-0,205,11,UCLA
19,83,Dwayne Allen,TE,27,6-3,265,7,Clemson
20,88,Martellus Bennett,TE,30,6-6,275,11,Texas A&M
21,87,Rob Gronkowski,TE,28,6-6,265,9,Arizona
22,47,Jacob Hollister,TE,24,6-4,239,2,Wyoming
23,82,Will Tye,TE,26,6-2,256,3,Stony Brook
24,60,David Andrews,C,25,6-3,295,4,Georgia
25,75,Ted Karras,G,24,6-4,305,3,Illinois
26,78,Jason King,G,24,6-4,310,1,Purdue
27,69,Shaq Mason,G,24,6-1,310,4,Georgia Tech
28,62,Joe Thuney,G,25,6-5,305,3,NC State
29,59,James Ferentz,OL,28,6-2,285,3,Iowa
30,61,Marcus Cannon,OT,29,6-6,335,8,TCU
31,74,Cole Croston,OT,24,6-5,315,2,Iowa
32,71,Cameron Fleming,OT,25,6-6,320,5,Stanford
33,63,Antonio Garcia,OT,24,6-7,302,1,Troy
34,76,Andrew Jelks,OT,24,6-6,307,1,Vanderbilt
35,77,Nate Solder,OT,29,6-8,325,8,Colorado
36,68,LaAdrian Waddle,OT,26,6-6,315,6,Texas Tech
39,97,Alan Branch,DE,33,6-6,350,12,Michigan
40,42,Keionta Davis,DE,23,6-3,271,1,Chattanooga
41,98,Trey Flowers,DE,24,6-2,265,4,Arkansas
42,96,Geneo Grissom,DE,25,6-4,265,4,Oklahoma
43,93,Lawrence Guy,DE,27,6-4,305,8,Arizona State
44,55,Eric Lee,DE,23,6-3,260,2,South Florida
45,95,Derek Rivers,DE,23,6-5,250,2,Youngstown State
46,91,Deatrich Wise,DE,23,6-5,271,2,Arkansas
47,90,Malcom Brown,DT,24,6-2,320,4,Texas
48,70,Adam Butler,DT,23,6-4,300,2,Vanderbilt
49,94,Ricky Jean Francois,DT,31,6-3,313,10,LSU
50,99,Vincent Valentine,DT,23,6-3,320,3,Nebraska
51,59,Marquis Flowers,LB,25,6-3,250,5,Arizona
52,50,Nicholas Grigsby,LB,25,6-2,230,2,Pittsburgh
53,45,David Harris,LB,34,6-2,250,12,Michigan
54,92,James Harrison,LB,39,6-0,242,16,Kent State
55,54,Dont'a Hightower,LB,27,6-3,265,7,Alabama
56,48,Harvey Langi,LB,25,6-2,252,2,BYU
57,58,Shea McClellin,LB,28,6-3,250,6,Boise State
58,52,Elandon Roberts,LB,23,6-0,235,3,Houston
59,53,Kyle Van Noy,LB,26,6-3,243,5,BYU
60,29,Johnson Bademosi,CB,27,6-0,206,7,Stanford
61,21,Malcolm Butler,CB,27,5-11,190,5,West Alabama
62,24,Stephon Gilmore,CB,27,6-1,190,7,South Carolina
63,41,Cyrus Jones,CB,24,5-10,200,3,Alabama
64,31,Jonathan Jones,CB,24,5-10,190,3,Auburn
65,35,Ryan Lewis,CB,23,6-0,200,1,Pittsburgh
66,25,Eric Rowe,CB,25,6-1,205,4,Utah
67,30,Jomal Wiltz,CB,23,5-10,180,1,Iowa State
68,34,David Jones,DB,24,6-3,210,1,Richmond
69,35,Damarius Travis,DB,23,6-2,215,1,Minnesota
70,23,Patrick Chung,S,30,5-11,215,10,Oregon
71,43,Nate Ebner,S,29,6-0,220,7,Ohio State
72,30,Duron Harmon,S,27,6-1,205,6,Rutgers
73,36,Brandon King,S,24,6-2,220,4,Auburn
74,32,Devin McCourty,S,30,5-10,195,9,Rutgers
75,37,Jordan Richards,S,25,5-11,210,4,Stanford
78,3,Stephen Gostkowski,PK,34,6-1,215,13,Memphis
79,6,Ryan Allen,P,27,6-2,220,6,Louisiana Tech
80,49,Joe Cardona,LS,25,6-3,245,4,Navy
0,5,Christian Hackenberg,QB,22,6-4,228,3,Penn State
1,15,Josh McCown,QB,38,6-4,218,16,Sam Houston State
2,9,Bryce Petty,QB,26,6-3,230,4,Baylor
3,2,Joel Stave,QB,25,6-4,230,1,Wisconsin
4,22,Matt Forte,RB,32,6-2,218,11,Tulane
5,37,Akeem Judd,RB,25,5-10,225,2,Ole Miss
6,6,Jeremy Langford,RB,26,6-0,211,3,Michigan State
7,25,Elijah McGuire,RB,23,5-9,214,2,Louisiana
8,29,Bilal Powell,RB,29,5-10,204,8,Louisville
9,39,Jahad Thomas,RB,22,5-10,190,1,Temple
10,44,Lawrence Thomas,FB,24,6-3,286,3,Michigan State
11,11,Robby Anderson,WR,24,6-3,190,3,Temple
12,81,Quincy Enunwa,WR,25,6-2,225,4,Nebraska
13,3,Brisly Estime,WR,--,5-9,176,2,Syracuse
14,16,Chad Hansen,WR,23,6-1,202,2,California
15,10,Jermaine Kearse,WR,28,6-1,209,7,Washington
16,89,Jalin Marshall,WR,22,5-10,200,2,Ohio State
17,1,Tre McBride III,WR,25,6-0,210,4,William & Mary
18,87,JoJo Natson,WR,24,5-7,153,2,Akron
19,17,Charone Peake,WR,25,6-2,209,3,Clemson
20,19,Devin Smith,WR,25,6-1,199,4,Ohio State
21,18,ArDarius Stewart,WR,24,5-11,205,2,Alabama
22,84,Damore'ea Stringfellow,WR,23,6-2,219,1,Ole Miss
23,82,Lucky Whitehead,WR,25,5-9,180,3,Florida Atlantic
24,80,Daniel Williams,WR,22,6-3,200,1,Jackson State
25,12,Chris Gragg,TE,27,6-3,244,6,Arkansas
26,86,Jordan Leggett,TE,23,6-5,258,2,Clemson
27,88,Austin Seferian-Jenkins,TE,25,6-5,262,5,Washington
28,85,Neal Sterling,TE,26,6-4,257,4,Monmouth
29,83,Eric Tomlinson,TE,25,6-6,263,3,UTEP
30,78,Jonotthan Harrison,C,26,6-4,300,5,Florida
31,76,Wesley Johnson,C,27,6-5,297,5,Vanderbilt
32,69,Ben Braden,G,23,6-6,329,1,Michigan
33,77,James Carpenter,G,28,6-5,321,8,Alabama
34,70,Dakota Dozier,G,26,6-4,313,5,Furman
35,67,Brian Winters,G,26,6-4,320,6,Kent State
36,68,Kelvin Beachum,OT,28,6-3,308,7,SMU
37,71,Ben Ijalana,OT,28,6-4,322,8,Villanova
38,65,Korren Kirven,OT,23,6-5,315,1,Alabama
39,79,Brent Qvale,OT,26,6-7,315,4,Nebraska
40,72,Brandon Shell,OT,26,6-5,324,3,South Carolina
43,75,Xavier Cooper,DE,26,6-4,300,4,Washington State
44,94,Kony Ealy,DE,26,6-4,275,5,Missouri
45,91,Claude Pelon,DE,25,6-3,300,1,USC
46,97,Ed Stinson,DE,27,6-4,287,5,Alabama
47,96,Muhammad Wilkerson,DE,28,6-4,315,8,Temple
48,92,Leonard Williams,DE,23,6-5,302,4,USC
49,99,Steve McLendon,DT,32,6-3,310,9,Troy
50,98,Mike Pennel,DT,26,6-4,332,5,Colorado State-Pueblo
51,93,Deon Simon,NT,27,6-4,332,2,Northwestern State
52,47,David Bass,LB,27,6-4,267,6,Missouri Western
53,50,Freddie Bishop,LB,27,6-3,255,2,Western Michigan
54,54,Bruce Carter,LB,29,6-2,240,8,North Carolina
55,56,Demario Davis,LB,29,6-2,248,7,Arkansas State
56,49,Dylan Donahue,LB,25,6-2,248,2,West Georgia
57,57,Obum Gwacham,LB,26,6-5,246,4,Oregon State
58,48,Jordan Jenkins,LB,23,6-3,259,3,Georgia
59,58,Darron Lee,LB,23,6-1,232,3,Ohio State
60,95,Josh Martin,LB,26,6-3,245,6,Columbia
61,55,Lorenzo Mauldin,LB,25,6-4,259,4,Louisville
62,51,Julian Stanford,LB,27,6-1,230,5,Wagner
63,32,Juston Burris,CB,24,6-0,212,3,NC State
64,21,Morris Claiborne,CB,28,5-11,192,7,LSU
65,34,Jeremy Clark,CB,23,6-3,220,1,Michigan
66,38,Xavier Coleman,CB,23,5-11,190,2,Portland State
67,31,Derrick Jones,CB,23,6-2,188,2,Ole Miss
68,40,Bryson Keeton,CB,24,6-2,190,2,Montana State
69,27,Darryl Roberts,CB,27,6-0,182,4,Marshall
70,36,Rashard Robinson,CB,22,6-1,177,3,LSU
71,41,Buster Skrine,CB,28,5-9,185,8,Chattanooga
72,22,Kacy Rodgers II,DB,25,6-2,212,R,Miami
73,43,Terrell Sinkfield,DB,27,6-1,195,1,Northern Iowa
74,33,Jamal Adams,S,22,6-1,213,2,LSU
75,23,Terrence Brooks,S,25,5-11,200,5,Florida State
76,26,Marcus Maye,S,24,5-11,207,2,Florida
77,35,Doug Middleton,S,24,6-0,210,2,Appalachian State
78,45,Rontez Miles,S,29,6-0,203,4,California (PA)
81,7,Chandler Catanzaro,PK,26,6-3,200,5,Clemson
82,4,Lachlan Edwards,P,25,6-4,209,3,Sam Houston State
83,42,Thomas Hennessy,LS,23,6-2,246,2,Duke
0,9,Matt Barkley,QB,27,6-2,227,6,USC
1,7,Blaine Gabbert,QB,28,6-4,235,8,Missouri
2,5,Drew Stanton,QB,33,6-3,243,11,Michigan State
3,37,D.J. Foster,RB,24,6-0,195,3,Arizona State
4,48,Bronson Hill,RB,25,5-10,215,1,Eastern Michigan
5,31,David Johnson,RB,26,6-1,224,4,Northern Iowa
6,22,T.J. Logan,RB,23,5-10,196,2,North Carolina
7,35,Elijhaa Penny,RB,24,6-1,234,2,Idaho
8,23,Adrian Peterson,RB,32,6-1,220,12,Oklahoma
9,38,Darius Victor,RB,23,5-8,209,1,Towson
10,33,Kerwynn Williams,RB,26,5-8,198,5,Utah State
11,19,Carlton Agudosi,WR,24,6-6,220,1,Rutgers
12,13,Jaron Brown,WR,28,6-2,205,6,Clemson
13,12,John Brown,WR,27,5-11,179,5,Pittsburg State
14,11,Larry Fitzgerald,WR,34,6-3,218,15,Pittsburgh
15,10,Brittan Golden,WR,29,5-11,186,5,West Texas A&M
16,14,J.J. Nelson,WR,25,5-10,160,4,UAB
17,17,Rashad Ross,WR,28,6-0,180,3,Arizona State
18,16,Chad Williams,WR,23,6-1,204,2,Grambling
19,84,Jermaine Gresham,TE,29,6-5,260,9,Oklahoma
20,85,Gabe Holmes,TE,26,6-4,255,3,Purdue
21,80,Ifeanyi Momah,TE,28,6-7,255,4,Boston College
22,87,Troy Niklas,TE,25,6-6,270,5,Notre Dame
23,86,Ricky Seals-Jones,TE,22,6-5,243,2,Texas A&M
24,61,Josh Allen,C,26,6-3,315,1,Louisiana Monroe
25,70,Evan Boehm,C,24,6-3,310,3,Missouri
26,62,Daniel Munyer,C,25,6-1,305,2,Colorado
27,53,A.Q. Shipley,C,31,6-1,307,7,Penn State
28,79,Max Tuerk,C,24,6-5,298,3,USC
29,75,Alex Boone,G,30,6-8,310,9,Ohio State
30,76,Mike Iupati,G,30,6-5,331,9,Idaho
31,71,Earl Watford,G,27,6-3,300,6,James Madison
32,64,Khalif Barnes,OT,35,6-6,320,12,Washington
33,69,Will Holden,OT,24,6-7,312,2,Vanderbilt
34,74,D.J. Humphries,OT,24,6-5,307,4,Florida
35,78,Vinston Painter,OT,28,6-4,318,4,Virginia Tech
36,68,Jared Veldheer,OT,30,6-8,321,9,Hillsdale
37,73,John Wetzel,OT,26,6-7,328,3,Boston College
40,77,Praise Martin-Oguike,DE,24,6-1,256,R,Temple
41,63,Peli Anau,DT,24,6-3,250,1,Northern Arizona
42,95,Rodney Gunter,DT,26,6-5,305,4,Delaware State
43,97,Josh Mauro,DT,26,6-6,282,5,Stanford
44,90,Robert Nkemdiche,DT,23,6-4,296,3,Ole Miss
45,98,Corey Peters,DT,29,6-3,305,9,Kentucky
46,72,Olsen Pierre,DT,26,6-4,293,3,Miami
47,92,Frostee Rucker,DT,34,6-3,280,13,USC
48,65,Pasoni Tasini,DT,24,6-3,307,1,Utah
49,94,Xavier Williams,DT,26,6-2,309,4,Northern Iowa
50,54,Bryson Albright,LB,23,6-5,245,2,Miami (OH)
51,20,Deone Bucannon,LB,25,6-1,211,5,Washington State
52,57,Josh Bynes,LB,28,6-1,235,8,Auburn
53,56,Karlos Dansby,LB,36,6-4,250,15,Auburn
54,59,Vontarrius Dora,LB,25,6-4,256,1,Louisiana Tech
55,44,Markus Golden,LB,26,6-3,260,4,Missouri
56,55,Chandler Jones,LB,27,6-5,265,7,Syracuse
57,50,Gabe Martin,LB,25,6-2,236,2,Bowling Green
58,96,Kareem Martin,LB,25,6-6,272,5,North Carolina
59,43,Haason Reddick,LB,23,6-1,235,2,Temple
60,49,Edmond Robinson,LB,25,6-3,245,4,Newberry
61,58,Scooby Wright,LB,23,6-0,240,2,Arizona
62,28,Justin Bethel,CB,27,6-0,200,7,Presbyterian College
63,39,Jarell Carter,CB,22,5-10,196,1,Trinity International (IL)
64,42,C.J. Goodwin,CB,28,6-4,220,3,California (PA)
65,45,Jonathan Moxey,CB,23,5-10,188,1,Boise State
66,21,Patrick Peterson,CB,27,6-1,203,8,LSU
67,26,Brandon Williams,CB,25,6-0,200,3,Texas A&M
68,25,Tramon Williams,CB,34,6-0,192,12,Louisiana Tech
69,29,Ronald Zamort,CB,26,5-10,174,2,Western Michigan
70,36,Budda Baker,S,22,5-10,195,2,Washington
71,41,Antoine Bethea,S,33,5-11,206,13,Howard
72,27,Tyvon Branch,S,31,6-0,210,11,Connecticut
73,30,Rudy Ford,S,23,5-11,204,2,Auburn
74,32,Tyrann Mathieu,S,25,5-9,186,6,LSU
75,34,Harlan Miller,S,23,6-0,182,2,Southeastern Louisiana
78,4,Phil Dawson,PK,43,5-11,200,20,Texas
79,2,Andy Lee,P,35,6-1,185,15,Pittsburgh
80,46,Aaron Brewer,LS,27,6-5,232,7,San Diego State
81,47,Drew Williams,LS,23,6-2,215,R,South Carolina
0,8,Brandon Allen,QB,25,6-2,214,3,Arkansas
1,16,Jared Goff,QB,23,6-4,223,3,California
2,14,Sean Mannion,QB,25,6-6,231,3,Oregon State
3,34,Malcolm Brown,RB,24,5-11,227,3,Texas
4,33,Justin Davis,RB,22,6-1,198,2,USC
5,25,Lance Dunbar,RB,28,5-8,187,7,North Texas
6,30,Todd Gurley II,RB,23,6-1,227,4,Georgia
7,41,Lenard Tillery,RB,24,5-10,198,2,Southern
8,45,Zach Laskey,FB,25,6-2,238,3,Georgia Tech
9,39,Sam Rogers,FB,22,5-10,235,1,Virginia Tech
10,11,Tavon Austin,WR,27,5-8,179,6,West Virginia
11,10,Pharoh Cooper,WR,22,5-11,207,3,South Carolina
12,18,Cooper Kupp,WR,24,6-1,205,2,Eastern Washington
13,83,Josh Reynolds,WR,22,6-3,192,2,Texas A&M
14,88,Michael Thomas,WR,23,6-1,195,3,Southern Mississippi
15,12,Sammy Watkins,WR,24,6-1,211,5,Clemson
16,17,Robert Woods,WR,25,6-0,193,6,USC
17,86,Derek Carrier,TE,27,6-4,244,6,Beloit College
18,81,Gerald Everett,TE,23,6-3,245,2,South Alabama
19,84,Temarrick Hemingway,TE,24,6-5,251,3,South Carolina State
20,89,Tyler Higbee,TE,25,6-6,257,3,Western Kentucky
21,87,Henry Krieger-Coble,TE,25,6-4,248,1,Iowa
22,82,Johnny Mundt,TE,23,6-4,245,1,Oregon
23,66,Austin Blythe,C,25,6-3,300,3,Iowa
24,60,Jake Eldrenkamp,C,23,6-5,300,1,Washington
25,72,Aaron Neary,C,25,6-4,301,1,Eastern Washington
26,65,John Sullivan,C,32,6-4,310,10,Notre Dame
27,68,Jamon Brown,G,24,6-4,330,4,Louisville
28,76,Rodger Saffold,G,29,6-5,325,9,Indiana
29,79,Robert Havenstein,OT,25,6-8,328,4,Wisconsin
30,73,Cornelius Lucas,OT,26,6-9,330,5,Kansas State
31,77,Andrew Whitworth,OT,36,6-7,333,13,LSU
32,63,Darrell Williams,OT,24,6-5,305,3,South Florida
35,97,Morgan Fox,DE,23,6-3,275,3,Colorado State-Pueblo
36,96,Matt Longacre,DE,26,6-3,255,4,Northwest Missouri State
37,90,Michael Brockers,DT,27,6-5,302,7,LSU
38,67,Omarius Bryant,DT,23,6-3,315,1,Western Kentucky
39,99,Aaron Donald,DT,26,6-1,280,5,Pittsburgh
40,91,Dominique Easley,DT,25,6-2,273,5,Florida
41,92,Tanzel Smart,DT,23,6-1,290,2,Tulane
42,95,Tyrunn Walker,DT,27,6-3,310,7,Tulsa
43,93,Ethan Westbrooks,DT,27,6-4,283,5,West Texas A&M
44,26,Mark Barron,LB,28,6-2,225,7,Alabama
45,98,Connor Barwin,LB,31,6-4,255,10,Cincinnati
46,50,Samson Ebukam,LB,22,6-3,240,2,Eastern Washington
47,54,Bryce Hager,LB,25,6-1,237,4,Baylor
48,58,Cory Littleton,LB,24,6-3,225,3,Washington
49,55,Cameron Lynch,LB,24,6-0,229,4,Syracuse
50,52,Alec Ogletree,LB,26,6-2,235,6,Georgia
51,51,Ejuan Price,LB,25,5-11,250,2,Pittsburgh
52,94,Robert Quinn,LB,27,6-4,250,8,North Carolina
53,56,Garrett Sickels,LB,23,6-4,252,1,Penn State
54,53,Carlos Thompson,LB,25,6-5,250,2,Ole Miss
55,36,Dominique Hatfield,CB,23,5-10,170,2,Utah
56,32,Troy Hill,CB,26,5-11,184,3,Oregon
57,22,Trumaine Johnson,CB,28,6-2,213,7,Montana
58,31,Taurean Nixon,CB,27,5-10,187,1,Tulane
59,47,Kevin Peterson,CB,23,5-11,180,2,Oklahoma State
60,23,Nickell Robey-Coleman,CB,26,5-8,178,6,USC
61,35,Marcus Sayles,CB,23,5-10,175,1,West Georgia
62,21,Kayvon Webster,CB,27,5-11,192,6,South Florida
63,27,Isaiah Johnson,DB,25,6-1,207,2,Georgia Tech
64,41,Marqui Christian,S,23,5-11,200,3,Midwestern State
65,24,Blake Countess,S,24,5-10,185,3,Auburn
66,38,Cody Davis,S,28,6-1,203,6,Texas Tech
67,43,John Johnson III,S,22,6-0,204,2,Boston College
68,20,Lamarcus Joyner,S,27,5-8,190,5,Florida State
71,5,Sam Ficken,PK,25,6-1,191,1,Penn State
72,4,Greg Zuerlein,PK,30,6-0,191,7,Missouri Western
73,6,Johnny Hekker,P,28,6-5,241,7,Oregon State
74,44,Jake McQuaide,LS,30,6-2,225,8,Ohio State
0,3,C.J. Beathard,QB,24,6-2,215,2,Iowa
1,10,Jimmy Garoppolo,QB,26,6-2,225,5,Eastern Illinois
2,4,Nick Mullens,QB,22,6-1,187,1,Southern Mississippi
3,22,Matt Breida,RB,22,5-10,190,2,Georgia Southern
4,28,Carlos Hyde,RB,27,6-0,235,5,Ohio State
5,33,Jeremy McNichols,RB,22,5-9,214,1,Boise State
6,31,Raheem Mostert,RB,25,5-10,197,4,Purdue
7,32,Joe Williams,RB,24,5-11,205,2,Utah
8,42,Malcolm Johnson,FB,25,6-1,231,3,Mississippi State
9,44,Kyle Juszczyk,FB,26,6-1,240,6,Harvard
10,17,Victor Bolden Jr.,WR,22,5-8,178,2,Oregon State
11,84,Kendrick Bourne,WR,22,6-1,203,2,Eastern Washington
12,12,Aaron Burbridge,WR,24,6-1,208,3,Michigan State
13,14,DeAndre Carter,WR,24,5-8,190,1,Sacramento State
14,15,Pierre Garcon,WR,31,6-0,211,11,Mount Union
15,11,Marquise Goodwin,WR,27,5-9,179,6,Texas
16,13,Max McCaffrey,WR,23,6-2,200,2,Duke
17,18,Louis Murphy,WR,30,6-2,200,9,Florida
18,19,Aldrick Robinson,WR,29,5-10,187,6,SMU
19,81,Trent Taylor,WR,23,5-8,178,2,Louisiana Tech
20,88,Garrett Celek,TE,29,6-5,252,7,Michigan State
21,83,Cole Hikutini,TE,23,6-4,247,2,Louisville
22,85,George Kittle,TE,24,6-4,250,2,Iowa
23,86,Kyle Nelson,TE,31,6-2,240,7,New Mexico State
24,82,Logan Paulsen,TE,30,6-5,268,9,UCLA
25,87,Cole Wick,TE,24,6-6,257,2,Incarnate Word
26,61,Tim Barnes,C,29,6-4,306,6,Missouri
27,67,Daniel Kilgore,C,30,6-3,308,8,Appalachian State
28,68,Zane Beadles,G,31,6-4,305,9,Utah
29,65,Joshua Garnett,G,23,6-5,321,3,Stanford
30,75,Laken Tomlinson,G,26,6-3,312,4,Duke
31,77,Trent Brown,OT,24,6-8,355,4,Florida
32,63,Brandon Fusco,OT,29,6-4,306,8,Slippery Rock
33,76,Garry Gilliam,OT,27,6-5,315,5,Penn State
34,64,Andrew Lauderdale,OT,24,6-6,291,1,New Hampshire
35,62,Erik Magnuson,OT,24,6-4,305,2,Michigan
36,71,Pace Murphy,OT,23,6-6,308,2,Northwestern State
37,74,Joe Staley,OT,33,6-5,315,12,Central Michigan
38,78,Darrell Williams Jr.,OT,24,6-5,310,2,Western Kentucky
41,91,Arik Armstead,DE,24,6-7,292,4,Oregon
42,98,Ronald Blair III,DE,25,6-4,270,3,Appalachian State
43,99,DeForest Buckner,DE,23,6-7,300,3,Oregon
44,95,Tank Carradine,DE,27,6-4,270,6,Florida State
45,--,Don Jones,DE,27,5-11,195,6,Arkansas State
46,54,Cassius Marsh,DE,25,6-4,245,5,UCLA
47,94,Solomon Thomas,DE,22,6-2,256,2,Stanford
48,96,Sheldon Day,DT,23,6-1,294,3,Notre Dame
49,92,Leger Douzable,DT,31,6-4,284,9,UCF
50,89,Chris Jones,DT,27,6-1,293,6,Bowling Green
51,93,D.J. Jones,DT,23,6-0,321,2,Ole Miss
52,90,Earl Mitchell,NT,30,6-3,310,9,Arizona
53,50,Brock Coyle,LB,27,6-1,245,5,Montana
54,58,Elvis Dumervil,LB,34,5-11,250,13,Louisville
55,56,Reuben Foster,LB,23,6-1,228,2,Alabama
56,49,Jimmie Gilbert,LB,23,6-5,230,2,Colorado
57,57,Eli Harold,LB,24,6-3,265,4,Virginia
58,47,Elijah Lee,LB,22,6-2,229,2,Kansas State
59,41,Boseko Lokombo,LB,27,6-2,231,1,Oregon
60,59,Aaron Lynch,LB,24,6-6,270,5,South Florida
61,48,Donavin Newsom,LB,24,6-2,240,2,Missouri
62,46,Mark Nzeocha,LB,28,6-3,240,4,Wyoming
63,51,Malcolm Smith,LB,28,6-0,225,8,USC
64,55,Pita Taumoepenu,LB,23,6-1,245,2,Utah
65,97,Dekoda Watson,LB,29,6-2,245,9,Florida State
66,38,Adrian Colbert,CB,24,6-2,205,2,Miami
67,20,Leon Hall,CB,33,5-11,195,11,Michigan
68,30,Asa Jackson,CB,28,5-10,183,5,Cal Poly
69,36,Dontae Johnson,CB,26,6-2,200,5,NC State
70,26,Greg Mabin,CB,23,6-1,200,2,Iowa
71,37,Trovon Reed,CB,27,6-0,191,2,Auburn
72,34,Channing Stribling,CB,23,6-1,188,1,Michigan
73,25,Jimmie Ward,CB,26,5-11,193,5,Northern Illinois
74,24,K'Waun Williams,CB,26,5-9,183,4,Pittsburgh
75,23,Ahkello Witherspoon,CB,22,6-2,195,2,Colorado
76,40,Antone Exum Jr.,S,26,6-0,219,5,Virginia Tech
77,43,Chanceller James,S,23,6-2,208,2,Boise State
78,27,Dexter McCoil,S,26,6-4,220,3,Tulsa
79,45,Tyvis Powell,S,23,6-2,211,2,Ohio State
80,35,Eric Reid,S,26,6-1,213,6,LSU
81,29,Jaquiski Tartt,S,25,6-1,221,4,Samford
84,9,Robbie Gould,PK,35,6-0,190,14,Penn State
85,5,Bradley Pinion,P,23,6-5,229,4,Clemson
0,6,Austin Davis,QB,28,6-2,221,7,Southern Mississippi
1,3,Russell Wilson,QB,29,5-11,215,7,Wisconsin
2,32,Chris Carson,RB,23,5-11,218,2,Oklahoma State
3,39,Mike Davis,RB,24,5-9,217,4,South Carolina
4,27,Eddie Lacy,RB,27,5-11,250,6,Alabama
5,38,Tre Madden,RB,24,6-0,235,2,USC
6,21,J.D. McKissic,RB,24,5-10,195,2,Arkansas State
7,22,C.J. Prosise,RB,23,6-1,225,3,Notre Dame
8,34,Thomas Rawls,RB,24,5-9,215,4,Central Michigan
9,45,Jalston Fowler,FB,27,5-11,254,4,Alabama
10,89,Doug Baldwin,WR,29,5-10,192,8,Stanford
11,84,Amara Darboh,WR,24,6-2,219,2,Michigan
12,16,Tyler Lockett,WR,25,5-10,182,4,Kansas State
13,19,Tanner McEvoy,WR,25,6-6,230,3,Wisconsin
14,83,David Moore,WR,23,6-0,219,2,East Central
15,10,Paul Richardson,WR,25,6-0,183,5,Colorado
16,88,Jimmy Graham,TE,31,6-7,265,9,Miami
17,46,Tyrone Swoopes,TE,23,6-3,254,1,Texas
18,81,Nick Vannett,TE,24,6-6,261,3,Ohio State
19,82,Luke Willson,TE,28,6-5,254,6,Rice
20,68,Justin Britt,C,26,6-6,315,5,Missouri
21,53,Joey Hunt,C,23,6-2,299,2,TCU
22,75,Oday Aboushi,G,26,6-5,315,6,Virginia
23,78,Luke Joeckel,G,26,6-6,307,6,Texas A&M
24,70,Rees Odhiambo,G,25,6-4,315,3,Boise State
25,77,Ethan Pocic,G,22,6-6,309,2,LSU
26,64,Jordan Roos,G,24,6-3,302,2,Purdue
27,76,Duane Brown,OT,32,6-4,305,11,Virginia Tech
28,74,George Fant,OT,25,6-5,322,3,Western Kentucky
29,65,Germain Ifedi,OT,23,6-5,325,3,Texas A&M
30,66,Tyrus Thompson,OT,26,6-5,330,2,Oklahoma
31,73,Matt Tobin,OT,27,6-6,303,6,Iowa
34,56,Cliff Avril,DE,31,6-3,260,11,Purdue
35,72,Michael Bennett,DE,32,6-4,274,10,Texas A&M
36,55,Frank Clark,DE,24,6-3,260,4,Michigan
37,48,Christian French,DE,25,6-5,245,2,Oregon
38,93,Branden Jackson,DE,25,6-4,270,2,Texas Tech
39,95,Dion Jordan,DE,27,6-6,275,4,Oregon
