,Number,Name,Position,Age,Height,Weight,Experience,College
33,76,D.J. Fluker,G,26,6-5,345,6,Alabama
34,73,John Greco,G,32,6-4,318,11,Toledo
35,77,John Jerry,G,31,6-5,335,9,Ole Miss
36,71,Damien Mama,G,22,6-3,342,1,USC
37,67,Justin Pugh,G,27,6-5,311,6,Syracuse
38,61,Nick Becton,OT,27,6-6,322,4,Virginia Tech
39,66,Adam Bisnowaty,OT,24,6-5,310,1,Pittsburgh
40,65,Jessamen Dunker,OT,25,6-4,315,2,Tennessee State
41,74,Ereck Flowers,OT,23,6-6,325,4,Miami
42,68,Laurence Gibson,OT,26,6-6,300,1,Virginia Tech
43,63,Chad Wheeler,OT,24,6-7,312,2,USC
46,91,Avery Moss,DE,23,6-3,271,2,Youngstown State
47,78,Romeo Okwara,DE,22,6-4,271,3,Notre Dame
48,90,Jason Pierre-Paul,DE,29,6-5,275,9,South Florida
49,54,Olivier Vernon,DE,27,6-2,262,7,Miami
50,97,Ishaq Williams,DE,24,6-4,253,2,Notre Dame
51,79,Jordan Williams,DE,24,6-4,272,1,Tennessee
52,72,Kerry Wynn,DE,26,6-5,264,5,Richmond
53,64,Josh Banks,DT,23,6-3,290,2,Wake Forest
54,96,Jay Bromley,DT,25,6-3,314,5,Syracuse
55,98,Damon Harrison,DT,29,6-3,341,7,William Penn
56,60,Kristjan Sokoli,DT,26,6-5,300,2,Buffalo
57,99,Robert Thomas,DT,26,6-1,331,3,Arkansas
58,94,Dalvin Tomlinson,DT,23,6-3,317,2,Alabama
59,50,Thurston Armbrister,LB,25,6-3,235,3,Miami
60,55,Ray-Ray Armstrong,LB,26,6-3,220,6,Miami
61,48,Akeem Ayers,LB,28,6-3,247,8,UCLA
62,52,Jonathan Casillas,LB,30,6-1,226,10,Wisconsin
63,93,B.J. Goodson,LB,24,6-1,241,3,Clemson
64,58,Curtis Grant,LB,25,6-2,249,2,Ohio State
65,44,Mark Herzlich,LB,30,6-5,236,8,Boston College
66,59,Devon Kennard,LB,26,6-4,256,5,USC
67,39,Derrick Mathews,LB,25,6-0,232,1,Houston
68,46,Calvin Munson,LB,23,6-0,241,2,San Diego State
69,57,Keenan Robinson,LB,28,6-3,245,7,Texas
70,47,Kelvin Sheppard,LB,30,6-2,249,8,LSU
71,45,Deontae Skinner,LB,27,6-1,241,4,Mississippi State
72,24,Eli Apple,CB,22,6-1,201,3,Ohio State
73,37,Ross Cockrell,CB,26,6-0,191,5,Duke
74,38,Donte Deayon,CB,24,5-9,163,2,Boise State
75,20,Janoris Jenkins,CB,29,5-10,190,7,North Alabama
76,41,Dominique Rodgers-Cromartie,CB,31,6-2,203,11,Tennessee State
77,25,Brandon Dixon,DB,27,5-11,203,2,Northwest Missouri State
78,31,Jeremiah McKinnon,DB,24,5-10,192,1,Florida Intl
79,23,Darryl Morris,DB,27,5-10,186,6,Texas State
80,30,Tim Scott,DB,25,5-11,195,1,North Carolina
81,33,Andrew Adams,S,25,5-11,205,3,Connecticut
82,29,Nat Berhe,S,26,5-11,195,5,San Diego State
83,21,Landon Collins,S,24,6-0,218,4,Alabama
84,36,Ryan Murphy,S,25,6-0,214,1,Oregon State
85,27,Darian Thompson,S,24,6-2,208,3,Boise State
88,1,Marshall Koehn,PK,25,6-0,197,1,Iowa
89,2,Aldrick Rosas,PK,23,6-2,221,2,Southern Oregon
90,4,Austin Rehkow,P,22,6-3,213,R,Idaho
91,9,Brad Wing,P,27,6-3,192,5,LSU
92,51,Zak DeOssie,LS,33,6-5,250,12,Brown
0,9,Nick Foles,QB,29,6-6,243,7,Arizona
1,7,Nate Sudfeld,QB,24,6-6,227,3,Indiana
2,11,Carson Wentz,QB,25,6-5,237,3,North Dakota State
3,36,Jay Ajayi,RB,24,6-0,223,4,Boise State
4,38,Kenjon Barner,RB,27,5-9,195,5,Oregon
5,29,LeGarrette Blount,RB,31,6-0,250,9,Oregon
6,30,Corey Clement,RB,23,5-10,220,2,Wisconsin
7,34,Donnel Pumphrey,RB,23,5-9,176,2,San Diego State
8,28,Wendell Smallwood,RB,24,5-10,208,3,West Virginia
9,43,Darren Sproles,RB,34,5-6,190,14,Kansas State
10,13,Nelson Agholor,WR,24,6-0,198,4,USC
11,4,Rashard Davis,WR,--,5-9,180,1,James Madison
12,18,Shelton Gibson,WR,23,5-11,191,2,West Virginia
13,10,Mack Hollins,WR,24,6-4,221,2,North Carolina
14,17,Alshon Jeffery,WR,27,6-3,218,7,South Carolina
15,14,Marcus Johnson,WR,23,6-1,204,2,Texas
16,82,Torrey Smith,WR,29,6-0,205,8,Maryland
17,11,Bryce Treggs,WR,23,6-0,185,3,California
18,89,Greg Ward Jr.,WR,22,5-11,186,1,Houston
19,--,Dom Williams,WR,25,6-2,200,2,Washington State
20,10,Marquess Wilson,WR,25,6-4,206,5,Washington State
21,85,Billy Brown,TE,24,6-4,255,1,Shepherd
22,88,Trey Burton,TE,26,6-3,235,5,Florida
